Department for Transport statistics,,,,,,,,,,
Vehicle Licensing Statistics (),,,,,,,,,,
,,,,,,,,,,
Table VEH0105,,,,,,,,,,
"Licensed vehicles at the end of the year by body type and upper and lower tier local authority 1 , including diesel cars and vans, United Kingdom, 2017",,,,,,,,,,
,,,,,,,,,,     Thousand
,,,,,,,,,Of which:,
ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
E07000080,      Forest of Dean,50.5,2.8,7.9,0.8,0.2,2.1,64.3,22.9,7.5
E07000081,      Gloucester,87.4,2.9,16.2,1.3,0.7,1.1,109.6,39.3,16
E07000082,      Stroud,70.7,3.7,9.7,1.7,0.3,2.1,88.1,29,9.2
E07000083,      Tewkesbury,52.1,2.5,7.3,1.1,0.2,1.5,64.7,20.4,6.9
,Local Authority District unknown 3,0.2,0.1,0.1,-,-,-,0.5,0.1,0.1
E10000027,   Somerset,313.8,16.7,46.2,5.9,1.4,16,400,128.2,43.5
E07000187,      Mendip,64.7,3.2,10.3,1.5,0.3,3.2,83.2,25.7,9.8
E07000188,      Sedgemoor,67.9,3.9,10.1,1.6,0.2,3,86.7,28.3,9.6
E07000189,      South Somerset,98.1,5.3,13.8,1.7,0.4,5.5,124.7,39.8,12.9
E07000190,      Taunton Deane,63.2,3.3,8.6,0.8,0.5,2.5,78.8,25.9,8.1
E07000191,      West Somerset,19.9,0.9,3.4,0.2,0.1,1.7,26.3,8.4,3.1
,Local Authority District unknown 3,0.1,-,0.1,,,0.1,0.2,-,-
,Local Authority unknown 3,0.7,0.3,0.2,-,-,0.2,1.4,0.2,0.1
W92000004,Wales,1542.1,57.2,205.1,22,9.2,55.5,1891.1,665.5,198.5
W06000001,   Isle of Anglesey,38.2,1.6,6.4,0.6,0.2,2,49,19.6,6.1
W06000002,   Gwynedd,58.4,2.1,11.9,1,0.5,4,77.8,30,11.5
W06000003,   Conwy,60.9,2.5,8.7,0.7,0.4,2.6,75.7,26.1,8.4
W06000004,   Denbighshire,49.4,2,7.3,0.8,0.2,2.7,62.3,22.2,7
W06000005,   Flintshire,85.4,3.8,10.1,1.6,0.3,2.2,103.3,35.7,9.8
W06000006,   Wrexham,67.7,3.1,8.3,1.2,0.2,2.5,83,28.7,8
W06000023,   Powys,75.1,3.4,16.4,1.8,0.6,9.5,106.8,37.3,15.9
W06000008,   Ceredigion,37,1.5,7.7,0.7,0.3,4.4,51.7,19.3,7.4
W06000009,   Pembrokeshire,66.3,2.8,12,1.4,0.4,5.5,88.3,31,11.5
W06000010,   Carmarthenshire,99.8,4,15.7,2.2,0.6,6.5,128.9,48.2,15.2
W06000011,   Swansea,124.9,4.1,18.1,1.3,1,2.3,151.7,49.1,17.6
W06000012,   Neath Port Talbot,68.7,2.8,8,0.7,0.3,1.1,81.6,28.5,7.7
W06000013,   Bridgend,73.9,2.5,8.5,1.1,0.4,0.9,87.3,30.7,8.3
W06000014,   The Vale of Glamorgan,66.6,2.4,6.5,0.7,0.2,1.1,77.4,26,6.2
W06000015,   Cardiff,141.6,3.6,12,1,0.8,1.1,160.2,52.9,11.6
W06000016,   Rhondda Cynon Taf,110.9,3.6,12.8,1.3,0.8,1.3,130.6,45.7,12.5
W06000024,   Merthyr Tydfil,26.4,0.6,2.9,0.2,0.2,0.2,30.5,12.2,2.8
W06000018,   Caerphilly,86,3,10.2,1.1,0.4,0.9,101.5,36.1,9.9
W06000019,   Blaenau Gwent,32.7,1.1,3.1,0.3,0.1,0.3,37.6,14.8,3
W06000020,   Torfaen,46.2,1.8,5.3,0.4,0.7,0.5,54.9,18.1,5.2
W06000021,   Monmouthshire,54,2.4,6.9,1,0.3,2.9,67.5,24.6,6.6
W06000022,   Newport,71.4,2.4,6.3,1,0.3,0.8,82.2,28.6,6
,Local Authority unknown 3,0.6,0.2,0.2,-,-,0.4,1.4,0.1,0.2
S92000003,Scotland,2462.4,69.8,293.6,38.2,14.7,83,2961.6,1024,286.8
S12000033,   Aberdeen City,94.1,3,8.8,1.1,0.7,1.3,109.1,33.6,8.6
S12000034,   Aberdeenshire,144.8,5.4,21.7,2.9,0.8,13.2,188.8,71.5,21.1
S12000041,   Angus,59.1,2.2,7.6,1.1,0.2,3.8,74.1,26.3,7.4
S12000035,   Argyll and Bute,42.4,1.3,7.5,0.8,0.4,2.1,54.3,19.1,7.2
S12000005,   Clackmannanshire,25.7,0.8,2.2,0.2,0.1,0.3,29.4,9.9,2.2
S12000006,   Dumfries and Galloway,75.8,2.8,12.7,1.8,0.3,7.1,100.5,36.9,12.3
S12000042,   Dundee City,55.5,1.4,4.6,0.6,0.3,0.9,63.3,19,4.4
S12000008,   East Ayrshire,56.5,1.7,6.1,0.9,0.2,2.2,67.8,24.4,6
S12000045,   East Dunbartonshire,55.1,1.1,3.2,0.2,0.1,0.6,60.4,20.5,3.2
S12000010,   East Lothian,50.7,1.8,5.3,0.4,0.2,1.7,60.2,20.1,5.2
S12000011,   East Renfrewshire,47.3,0.8,2.6,0.3,0.1,0.5,51.6,17.9,2.5
S12000036,   Edinburgh City,176,4.8,12.6,0.8,1.4,3.4,199.1,58.6,12.1
S12000013,   Eilean Siar ,13.1,0.5,3.4,0.3,0.2,0.9,18.5,5.5,3.4
S12000014,   Falkirk,79.1,2.2,7.3,1.4,0.5,1.1,91.7,30.4,7.2
S12000015,   Fife,178.7,5.6,17.6,1.6,1.1,4.1,208.7,69.6,17.2
S12000046,   Glasgow City,197.3,3.4,23.4,3.3,1.7,3.2,232.3,75.1,23.1
S12000017,   Highland,116.1,4.5,22.7,2,0.8,7.3,153.3,57.6,22.1
S12000018,   Inverclyde,34.4,0.7,2,0.1,0.5,0.3,38,12.3,1.9
S12000019,   Midlothian,42.9,1.6,4.8,0.5,0.2,0.8,50.8,15.9,4.7
S12000020,   Moray,47,2,7.2,0.8,0.2,2.9,60,21.7,6.9
S12000021,   North Ayrshire,61.6,1.9,6,0.8,0.3,1.3,71.8,24,5.8
S12000044,   North Lanarkshire,148.2,3,22.9,4.4,0.7,1.5,180.6,62,22.7
S12000023,   Orkney Islands,11.1,0.6,2.8,0.2,0.1,2.1,16.9,5,2.8
S12000024,   Perth and Kinross,76.4,2.5,10.5,1.3,0.4,5.6,96.5,35.6,10.1
S12000038,   Renfrewshire,114.1,1.9,15.2,1.5,0.5,1,134.2,54.1,15
S12000026,   Scottish Borders,59.8,2,9.2,1.6,0.2,4.7,77.5,28,8.9
S12000027,   Shetland Islands,11.6,0.6,3.1,0.3,0.2,0.9,16.8,5.6,3.1
S12000028,   South Ayrshire,55.6,1.6,5.4,0.4,0.6,1.9,65.5,22.3,5.2
S12000029,   South Lanarkshire,149.5,3.3,14.1,2.7,0.7,2.9,173.3,62.9,13.8
S12000030,   Stirling,57.1,1.1,7.6,0.7,0.1,1.3,67.9,29.2,7.5
S12000039,   West Dunbartonshire,38.2,0.9,3.5,0.3,0.2,0.4,43.4,14.7,3.4
S12000040,   West Lothian,87,2.6,9.6,2.8,0.6,1.6,104.2,34.3,9.4
